141.55,154.6,158.95,60.343,42.436,108.53,107.13,76.475
139.5,165.86,165.51,92.676,34.995,120,80.992,58.553
141.05,77.411,34.957,89.467,138.46,149.47,101.82,NaN
114.21,156.1,38.76,102.61,158.43,NaN,NaN,124.5
157.67,39.868,167.03,54.872,153.95,128,95.692,122.3
82.859,154.67,53.983,85.631,160.54,88.95,124.34,152.2
164.13,68.972,39.86,131.16,NaN,131.12,79.774,128.26
102.75,NaN,134.47,119.99,152.74,NaN,127.78,75.825
49.374,110.84,164.52,98.44,120.41,134.63,74.535,89.671
39.899,145.3,126.15,113.99,69.962,54.581,49.682,63.815
43.664,40.9,31.916,57.97,94.777,136.2,67.674,NaN
45.632,43.768,84.367,149.43,55.846,118.03,84.275,121.39
52.451,40.337,142.25,141.51,109.7,149.35,129.68,103.71
148.89,153.85,159.91,36.316,163.98,109.03,150.31,49.986
170.55,35.766,60.213,NaN,70.706,NaN,62.933,45.702
35.567,84.411,149.49,136.18,147.96,127.84,68.689,129.84
47.33,94.076,122.23,121.26,130.38,130.72,69.149,97.995
42.707,93.712,56.928,133.52,120.8,137.27,99.58,76.15
NaN,145.33,81.047,84.081,130.43,91.71,54.876,106.67
173.25,118.64,78.436,43.476,62.572,152.75,NaN,125.93
162.71,102.09,39.524,105.32,NaN,62.172,78.53,127.85
112.53,153.14,32.771,107.72,142.88,63.46,NaN,57.095
159.94,144.3,70.253,NaN,76.326,64.829,118.14,128.04
140.2,74.743,88.825,124.76,106.06,123.83,NaN,113.53
NaN,148.12,78.216,162.78,NaN,134.65,68.523,65.019
59.49,140.71,86.352,134.32,85.116,119.01,124,99.452
146.97,36.892,151.17,102.69,149.19,73.83,NaN,66.178
65.094,NaN,47.993,127.3,134.33,107.36,80.943,101.44
129.67,83.761,75.883,140,44.906,117.68,64.747,140.29
142.75,53.18,43.89,45.974,104.42,79.585,86.244,108.64
37.024,39.733,105.68,92.758,158.43,NaN,82.499,122.99
170.62,34.851,50.969,79.666,72.048,118.17,45.646,86.054
158.46,82.979,127.86,46.016,70.397,141.4,116.24,99.719
77.9,115.56,70.927,135.35,57.23,59.788,62.606,136.78
116.27,81.26,76.164,46.731,77.044,98.968,128.2,89.821
115.65,101.7,147.44,93.72,123.34,150.93,143.1,81.637
89.769,79.481,NaN,98.791,93.986,153.09,114.5,122.18
57.11,165.63,52.378,83.046,115.3,121.87,NaN,110.16
136.94,36.664,94.056,66.349,49.202,111.66,52.303,130.54
148.4,92.409,43.648,42.301,79.212,95.391,NaN,90.247
158.54,149.73,76.549,123.99,49.574,107.87,72.678,76.482
159.48,68.694,50.459,108.84,123.96,45.764,64.162,66.077
52.047,84.293,NaN,56.241,104.37,99.568,138.01,97.699
63.257,87.696,80.5,NaN,152.09,123.76,75.98,102.65
65.979,137.97,150.77,118.42,144.1,134.35,103.67,83.542
135.46,71.042,159.07,111.81,88.012,67.258,71.517,88.1
135.23,135.75,153.06,67.772,147.42,142.55,71.908,69.68
28.415,133.35,68.242,126.43,61.448,44.494,130.28,112.93
156.62,151.6,153.71,85.484,43.096,50.8,135.1,NaN
136.67,45.816,57.672,94.524,114.06,83.274,NaN,72.471
149.33,109.15,63.102,160.38,43.786,68.659,148.05,69.778
54.277,43.438,60.104,161.71,109.3,93.553,141.52,134.49
105.91,160.96,NaN,90.609,97.561,105.57,82.779,114.36
141.02,42.388,26.706,120.26,67.178,126.78,92.631,83.008
NaN,80.112,134.98,93.732,82.629,53.313,124.34,111.58
63.137,130.69,60.112,110.12,131.03,117.91,81.705,68.894
160.56,40.824,67.954,29.441,NaN,156.09,NaN,50.635
119.04,48.585,160.44,108.11,96.082,56.214,79.513,45.642
61.227,NaN,152.46,54.147,137.92,157.96,132.34,98.759
41.406,145.33,92.321,122.79,86.531,152.41,126.55,85.625
34.843,64.07,162.93,131.26,154.83,78.394,151,136.79
160.8,68.087,143.89,NaN,105.59,113.92,NaN,56.587
33.807,88.173,119.71,36.222,NaN,60.818,141.81,136.06
34.304,83.762,127.26,43.643,46.707,115.45,140.7,101.54
NaN,26.516,145.7,110.9,140.39,66.413,87.726,54.488
93.828,40.465,57.515,46.483,115.26,111.67,134.54,95.471
144.75,119.16,142.3,133.64,143.05,141.41,65.119,NaN
163.83,166.66,40.7,51.298,153.22,132.27,NaN,NaN
101.37,150.42,119.05,158.22,128.8,164.07,49.849,NaN
139.79,162.07,65.221,63.72,53.909,125.39,139.49,88.895
61.361,63.667,135.62,35.677,141.74,128.79,154.82,72.915
80.647,83.478,82.174,77.776,75.331,102.76,150.53,92.146
35.191,112.76,143.76,NaN,58.297,70.464,119.2,123.96
135.37,165.24,112.28,138.55,91.249,146.45,43.944,NaN
91.257,NaN,129.69,149.98,131.32,82.154,123.44,99.242
38.225,114.09,102.95,74.806,96.762,81.426,134.56,69.157
54.858,152.71,140.89,149.04,NaN,80.227,70.92,75.153
164.96,41.697,48.948,138.93,NaN,NaN,107.19,115.07
62.431,57.522,46.38,NaN,47.122,60.11,117.84,96.841
168.87,45.709,82.286,51.358,120.76,125.32,141.79,73.04
49.571,153.44,157.28,121.55,43.18,51.341,64.805,135.64
41.498,108.15,63.335,67.792,131.17,104.62,110.35,139.44
71.842,59.729,84.615,NaN,102.13,102.41,83.473,55.238
73.795,168.34,NaN,58.334,NaN,135.47,151.93,79.992
